name,price
2013 Acura TL,"
					$15,995.00"
"
				2014 Acura RDX Technology Package
			","
					$17,500.00"
"2014 Acura MDX SH-AWD w/Technology Package, 1-owner","
					$23,997.00"
"
				2015 Acura TLX
			","$16,796.00"
"New listing
		2010 Acura TL 4dr Sedan 2WD Tech","$12,895.00"
"New listing
		2002 Acura TL --","$3,885.00"
"New listing
		2010 Acura RDX Tech Pkg","$15,985.00"
"New listing
		2007 Acura MDX Sport/Entertainment Pkg","$9,875.00"
"New listing
		2014 Acura MDX Tech Pkg","$30,555.00"
"New listing
		2005 Acura MDX Touring","$6,995.00"
"New listing
		2004 Acura TSX w/Navigation","$4,995.00"
2015 Acura MDX SH-AWD Sport Utility 4-Door,"$35,800.00"
2007 Acura MDX 4WD 4dr Tech/Entertainment Pkg,"$7,777.00"
"New listing
		2014 Acura RDX Technology","$22,985.00"
2007 Acura MDX --,"$12,490.00"
2013 Acura TL FWD,"$15,999.00"
2010 Acura TL Tech 18 Wheels,"$12,981.00"
2008 Acura TL w/NAV 4dr Sdn Auto,"$11,900.00"
2015 Acura MDX FWD,"$28,999.00"
2009 Acura RDX SH-AWD,"$13,950.00"
2007 Acura MDX 3.7L,"$11,980.00"
2010 Acura TSX 2.4,"$11,994.00"
2015 Acura RDX w/Technology Package,"$28,714.00"
2014 Acura MDX 3.5L,"$29,234.00"
2008 Acura TL 5SPEED AUTO NEW TIRES LOW MILES,"$9,995.00"
2015 Acura ILX 2.0L FWD,"$14,999.00"
"New listing
		2015 Acura MDX SH-AWD w/Tech","$33,999.00"
"New listing
		2015 Acura MDX TECH --","$34,499.00"
2014 Acura ILX Premium Pkg,"$19,770.00"
2011 Acura MDX SH-AWD Navigation Backup Camera Entertainment Syst,"$18,995.00"
2015 Acura MDX Tech Pkg,"$35,991.00"
1998 Acura NSX T Coupe 2-Door,"$50,000.00"
"New listing
		2007 Acura TL 4dr Sedan Automatic Type-S","
					$8,795.00"
2005 Acura TSX sedan,"$1,550.00"
2002 Acura TL,"
					$4,500.00"
2010 Acura TSX EXTRA CLEAN LOW MILES CAR,"$11,995.00"
"
				2013 Acura RDX V6 FWD
			","
					$14,900.00"
"New listing
		2015 Acura MDX SH-AWD Tech Pkg","
					$15,950.00"
2008 Acura MDX Technology Package,"
					$9,995.00"
"New listing
		2013 Acura ILX Tech Pkg","$10,885.00"
2012 Acura TL SH AWD CONTACT ALLEN 201-248-3818,"
					$6,995.00"
